"","tree_id","tree_code","fp_tree_id","fp_species_name","fp_species_id","fp_genus_name","fp_genus_id","fp_family_name","fp_family_apg_id","sub_plot_code","plot_code","csp_site","csp_tree_code","csp_species","csp_family","csp_full_name","csp_taxon_info","dbh_latest","census_date_latest"
"7817",3404,"T699",1106489,"Micropholis egensis",412575,"Micropholis",24761,"Sapotaceae",377,"9","PAN-02",NA,NA,NA,NA,NA,NA,357,"2013.241"
"7818",7953,"T699",637382,"Roupala monosperma",527530,"Roupala",21824,"Proteaceae",392,"19","SPD-01",NA,NA,NA,NA,NA,NA,0,"2011"
"7819",10092,"T699",1063066,"Persea areolatocostae",468035,"Persea",14644,"Lauraceae",374,"20","SPD-02",NA,NA,NA,NA,NA,NA,189,"2009.033"
"7820",12806,"T699",635890,"Schefflera indet",630762,"Schefflera",2453,"Araliaceae",368,"21","TRU-04",NA,NA,NA,NA,NA,NA,0,"2007.433"
"7821",13864,"T699",633682,"Weinmannia crassifolia",621965,"Weinmannia",9498,"Cunoniaceae",347,"15","WAY-01",NA,NA,NA,NA,NA,NA,150,"2011.896"
"7822",13139,"T699.2.A",636223,"Hedyosmum goudotianum",286815,"Hedyosmum",8621,"Chloranthaceae",226,"21","TRU-04",NA,NA,NA,NA,NA,NA,119,"2011.575"
"7823",11125,"T69A",140795,"Hevea indet",638980,"Hevea",10671,"Euphorbiaceae",415,"3","TAM-05",NA,NA,NA,NA,NA,NA,117,"2011.652"
"7824",8206,"T6A",637635,"Cecropia indet",636624,"Cecropia",8315,"Urticaceae",378,"1","SPD-01",NA,NA,NA,NA,NA,NA,0,"2011"
"7825",13045,"T6A",636129,"Prunus integrifolia",504565,"Prunus",23140,"Rosaceae",397,"1","TRU-04",NA,NA,NA,NA,NA,NA,108,"2011.575"
"7826",11258,"T6C",140804,"Plinia indet",645233,"Plinia",16924,"Myrtaceae",408,"1","TAM-06",NA,NA,NA,NA,NA,NA,101,"2011.6725"
"7827",7,"T7",1105389,"Miconia indet",644409,"Miconia",16100,"Melastomataceae",414,"1","ACJ-01",NA,NA,NA,NA,NA,NA,184,"2014.2"
"7828",866,"T7",634277,"Miconia indet",644409,"Miconia",16100,"Melastomataceae",414,"1","ESP-01",NA,NA,NA,NA,NA,NA,116,"2011.915"
"7829",3749,"T7",1106834,"Tapirira guianensis",583557,"Tapirira",1049,"Anacardiaceae",390,"22","PAN-02",NA,NA,NA,NA,NA,NA,480,"2013.241"
"7830",6577,"T7",1107605,"Ocotea insularis",434627,"Ocotea",14636,"Lauraceae",374,"1","PAN-03",NA,NA,NA,NA,NA,NA,145,"2014.219"
