"","plot_i","sp_i","level_used","sample_size"
"79","TAM-05","Oenocarpus bataua",NA,"0"
"80","WAY-01","Myrsine indet","c","15"
"81","SPD-01","Cecropia angustifolia","a","1"
"82","SPD-01","Myrsine indet","d","83"
"83","SPD-01","Miconia axinaeoides","d","88"
"84","WAY-01","Miconia indet","b","30"
"85","ACJ-01","Symplocos baehnii","a","34"
"86","ESP-01","Weinmannia bangii","a","21"
"87","SPD-02","Cinchona micrantha","a","12"
"88","TAM-05","Pourouma minor","a","6"
"89","SPD-01","Turpinia occidentalis","f","10"
"90","SPD-01","Hieronyma indet","d","11"
"91","TAM-06","Myroxylon balsamum","f","74"
"92","SPD-01","Myrcia fallax","i","2"
"93","WAY-01","Ocotea indet","b","40"
"94","WAY-01","Viburnum reticulatum","h","2"
"95","WAY-01","Freziera parva","b","21"
"96","ACJ-01","Miconia setulosa","a","23"
"97","ESP-01","Axinaea indet","d","15"
"98","PAN-03","Abarema jupunba","e","15"
"99","SPD-01","Pseudolmedia rigida","a","15"
"100","SPD-02","Vochysia indet","f","9"
"101","TAM-05","Macoubea guianensis","f","15"
"102","TAM-06","Tetragastris altissima","f","12"
"103","TRU-04","Myrsine coriacea","a","24"
"104","WAY-01","Pentacalia sp. 28009(CSP)","a","2"
"105","TAM-05","Inga alba","d","23"
"106","SPD-01","Hedyosmum peruvianum","c","11"
"107","SPD-01","Guettarda crispiflora","e","16"
"108","SPD-01","Cupania indet","h","1"
"109","WAY-01","Prunus indet","b","6"
"110","SPD-01","Miconia ternatifolia","d","88"
"111","ESP-01","Meliosma frondosa","a","30"
"112","SPD-02","Pourouma bicolor","a","18"
"113","TAM-05","Pterocarpus indet","a","9"
"114","TAM-06","Trigynaea duckei","f","35"
"115","WAY-01","Clusia alata","a","15"
"116","SPD-01","Pourouma bicolor","b","33"
"117","SPD-01","Inga nobilis","c","12"
"118","ACJ-01","Symplocos psiloclada","c","49"
"119","PAN-03","Sloanea guianensis","a","18"
"120","SPD-02","Inga killipiana","d","23"
"121","TAM-05","Ouratea indet","a","18"
"122","TAM-06","Pseudolmedia laevis","b","3"
"123","SPD-01","Heliocarpus americanus","b","11"
"124","SPD-01","Cupania rubiginosa","h","1"
"125","SPD-01","Endlicheria indet","d","18"
"126","WAY-01","Oreopanax indet","d","19"
"127","SPD-01","Casearia zahlbruckneri","h","1"
"128","SPD-01","Guarea indet","d","9"
"129","PAN-03","Inga nobilis","d","23"
